0,1
1,1.0
2,1.75
3,3.0
4,3.75
5,4.75
6,6.0
7,7.0
8,7.75
9,9.0
10,10.0
11,10.75
12,12.0
13,13.0
14,14.0
15,15.0
16,15.75
17,17.0
18,17.75
19,18.75
20,20.0
21,20.75
22,22.0
23,23.0
24,24.0
25,24.75
26,25.75
27,27.0
28,28.0
29,28.75
30,30.0
31,30.75
32,32.0
33,33.0
34,33.75
35,35.0
36,36.0
37,37.0
38,38.0
39,39.0
40,39.75
41,41.0
42,41.75
43,43.0
44,44.0
45,44.75
46,46.0
47,47.0
48,48.0
49,48.75
50,50.0
51,51.0
52,51.75
53,53.0
54,53.75
55,55.0
56,56.0
57,56.75
58,58.0
59,59.0
60,60.0
61,60.75
62,62.0
63,63.0
64,63.75
65,65.0
66,65.75
67,66.75
68,68.0
69,68.75
70,69.75
71,71.0
72,72.0
73,73.0
74,73.75
75,74.75
76,76.0
77,76.75
78,77.75
79,79.0
80,79.75
81,80.75
82,82.0
83,83.0
84,84.0
85,84.75
86,85.75
87,86.75
88,88.0
89,88.75
90,89.75
91,90.75
92,92.0
93,93.0
94,93.75
95,94.75
96,96.0
97,97.0
98,97.75
99,99.0
100,99.75
